"par","yhat","K.sce","I.sce","N.sce","outcome"
2455.29390613663,1.17584174547124,0.05,1,1,"R0"
2521.49029974651,1.18849606269083,0.05,1,1,"R0"
2587.6866933564,1.19027928996737,0.05,1,1,"R0"
2653.88308696629,1.1949701187168,0.05,1,1,"R0"
2720.07948057618,1.20582981063849,0.05,1,1,"R0"
2786.27587418607,1.21148945988075,0.05,1,1,"R0"
2852.47226779596,1.21194016903853,0.05,1,1,"R0"
2918.66866140585,1.21206814300705,0.05,1,1,"R0"
2984.86505501574,1.21223161879456,0.05,1,1,"R0"
3051.06144862562,1.21225348239035,0.05,1,1,"R0"
3117.25784223551,1.21225348239035,0.05,1,1,"R0"
3183.4542358454,1.21225348239035,0.05,1,1,"R0"
3249.65062945529,1.21225348239035,0.05,1,1,"R0"
3315.84702306518,1.21225348239035,0.05,1,1,"R0"
0.00900665383712314,0.811037716169476,0.05,1,1,"R0"
0.011980342943114,0.811037716169476,0.05,1,1,"R0"
0.0149540320491048,0.811094823161633,0.05,1,1,"R0"
0.0179277211550957,0.811008443604868,0.05,1,1,"R0"
0.0209014102610865,0.811901054071231,0.05,1,1,"R0"
0.0238750993670773,0.813308495602526,0.05,1,1,"R0"
0.0268487884730682,0.818832480390723,0.05,1,1,"R0"
0.029822477579059,0.826997561123994,0.05,1,1,"R0"
0.0327961666850498,0.836228247944824,0.05,1,1,"R0"
0.0357698557910407,0.851951214985177,0.05,1,1,"R0"
0.0387435448970315,0.86121657429131,0.05,1,1,"R0"
0.0417172340030223,0.878701703913936,0.05,1,1,"R0"
0.0446909231090132,0.902854968846118,0.05,1,1,"R0"
0.047664612215004,0.939419841701141,0.05,1,1,"R0"
0.0506383013209949,0.957947322802649,0.05,1,1,"R0"
0.0536119904269857,0.986583719135261,0.05,1,1,"R0"
0.0565856795329765,1.00415477513541,0.05,1,1,"R0"
0.0595593686389674,1.04507931684434,0.05,1,1,"R0"
0.0625330577449582,1.07547828847585,0.05,1,1,"R0"
0.065506746850949,1.08840251025946,0.05,1,1,"R0"
0.0684804359569399,1.10788371307008,0.05,1,1,"R0"
0.0714541250629307,1.12019843065157,0.05,1,1,"R0"
0.0744278141689216,1.13037453242028,0.05,1,1,"R0"
0.0774015032749124,1.14774086236903,0.05,1,1,"R0"
0.0803751923809032,1.17029825437937,0.05,1,1,"R0"
0.0833488814868941,1.17403209036115,0.05,1,1,"R0"
0.0863225705928849,1.17888856127483,0.05,1,1,"R0"
0.0892962596988757,1.19502524676851,0.05,1,1,"R0"
0.0922699488048666,1.22935198735423,0.05,1,1,"R0"
0.0952436379108574,1.23622448803037,0.05,1,1,"R0"
0.0982173270168483,1.24202567460642,0.05,1,1,"R0"
0.101191016122839,1.24713309685014,0.05,1,1,"R0"
0.10416470522883,1.24804213989447,0.05,1,1,"R0"
0.107138394334821,1.25000259827445,0.05,1,1,"R0"
0.110112083440812,1.25404919446395,0.05,1,1,"R0"
0.113085772546802,1.25451457925172,0.05,1,1,"R0"
0.116059461652793,1.25560283535831,0.05,1,1,"R0"
0.119033150758784,1.25775792864599,0.05,1,1,"R0"
0.122006839864775,1.26009646624077,0.05,1,1,"R0"
0.124980528970766,1.27041275925684,0.05,1,1,"R0"
0.127954218076757,1.27043156423616,0.05,1,1,"R0"
0.130927907182747,1.27113336476796,0.05,1,1,"R0"
0.133901596288738,1.27900431709871,0.05,1,1,"R0"
0.136875285394729,1.27921280007821,0.05,1,1,"R0"
0.13984897450072,1.27921280007821,0.05,1,1,"R0"
0.142822663606711,1.27927251574095,0.05,1,1,"R0"
0.145796352712702,1.27927251574095,0.05,1,1,"R0"
0.148770041818692,1.27927251574095,0.05,1,1,"R0"
0.151743730924683,1.27927251574095,0.05,1,1,"R0"
0.154717420030674,1.27927251574095,0.05,1,1,"R0"
0.157691109136665,1.27927251574095,0.05,1,1,"R0"
0.0258906991746935,0.865891495973076,0.05,1,1,"R0"
0.0322839611813927,0.865891495973076,0.05,1,1,"R0"
0.0386772231880919,0.865854701053731,0.05,1,1,"R0"
0.0450704851947911,0.866014271187022,0.05,1,1,"R0"
0.0514637472014903,0.867776405259294,0.05,1,1,"R0"
0.0578570092081895,0.869602204627,0.05,1,1,"R0"
0.0642502712148888,0.872012749366594,0.05,1,1,"R0"
0.070643533221588,0.875352425702665,0.05,1,1,"R0"
0.0770367952282872,0.879101570261032,0.05,1,1,"R0"
0.0834300572349864,0.8839324267453,0.05,1,1,"R0"
0.0898233192416856,0.898790184898287,0.05,1,1,"R0"
0.0962165812483848,0.936792262566807,0.05,1,1,"R0"
0.102609843255084,0.947574013535815,0.05,1,1,"R0"
0.109003105261783,0.957962606386119,0.05,1,1,"R0"
0.115396367268482,0.969437653696976,0.05,1,1,"R0"
0.121789629275182,0.991417830361443,0.05,1,1,"R0"
0.128182891281881,1.01581547761459,0.05,1,1,"R0"
0.13457615328858,1.05915151139682,0.05,1,1,"R0"
0.140969415295279,1.07030390249259,0.05,1,1,"R0"
0.147362677301978,1.08045138974804,0.05,1,1,"R0"
0.153755939308678,1.09391128215007,0.05,1,1,"R0"
0.160149201315377,1.1137715054155,0.05,1,1,"R0"
0.166542463322076,1.13374964051498,0.05,1,1,"R0"
0.172935725328775,1.14743543392048,0.05,1,1,"R0"
0.179328987335475,1.16377206798093,0.05,1,1,"R0"
0.185722249342174,1.16822519975043,0.05,1,1,"R0"
0.192115511348873,1.17279432152179,0.05,1,1,"R0"
0.198508773355572,1.1818601500734,0.05,1,1,"R0"
0.204902035362271,1.18421686608229,0.05,1,1,"R0"
0.211295297368971,1.19060748911756,0.05,1,1,"R0"
0.21768855937567,1.20342374832157,0.05,1,1,"R0"
0.224081821382369,1.2223194201732,0.05,1,1,"R0"
0.230475083389068,1.24037323283429,0.05,1,1,"R0"
0.236868345395767,1.24143676390465,0.05,1,1,"R0"
0.243261607402467,1.24319482719312,0.05,1,1,"R0"
0.249654869409166,1.24376005190936,0.05,1,1,"R0"
0.256048131415865,1.24479036366911,0.05,1,1,"R0"
0.262441393422564,1.24477146683321,0.05,1,1,"R0"
0.268834655429263,1.2460512957199,0.05,1,1,"R0"
0.275227917435963,1.25909509024324,0.05,1,1,"R0"
0.281621179442662,1.26394049354695,0.05,1,1,"R0"
0.288014441449361,1.26928322385963,0.05,1,1,"R0"
0.29440770345606,1.26952036488249,0.05,1,1,"R0"
0.30080096546276,1.27669006281134,0.05,1,1,"R0"
0.307194227469459,1.27858875046666,0.05,1,1,"R0"
0.313587489476158,1.27858875046666,0.05,1,1,"R0"
0.319980751482857,1.28197946233282,0.05,1,1,"R0"
0.326374013489556,1.28197946233282,0.05,1,1,"R0"
0.332767275496256,1.28197946233282,0.05,1,1,"R0"
0.339160537502955,1.28197946233282,0.05,1,1,"R0"
0.345553799509654,1.28197946233282,0.05,1,1,"R0"
0.0246774112294103,0.874291715848513,0.05,1,1,"R0"
0.0307502846183481,0.874345974833259,0.05,1,1,"R0"
0.036823158007286,0.874073601930803,0.05,1,1,"R0"
0.0428960313962238,0.87460964628526,0.05,1,1,"R0"
0.0489689047851616,0.875748655321255,0.05,1,1,"R0"
0.0550417781740995,0.87884198916974,0.05,1,1,"R0"
0.0611146515630373,0.886391381474479,0.05,1,1,"R0"
0.0671875249519751,0.890973083091865,0.05,1,1,"R0"
0.073260398340913,0.898503999955766,0.05,1,1,"R0"
0.0793332717298508,0.906679803792093,0.05,1,1,"R0"
0.0854061451187886,0.915003983261737,0.05,1,1,"R0"
0.0914790185077265,0.921347576258848,0.05,1,1,"R0"
0.0975518918966643,0.929669495702316,0.05,1,1,"R0"
0.103624765285602,0.939951440284117,0.05,1,1,"R0"
0.10969763867454,0.963794381780647,0.05,1,1,"R0"
0.115770512063478,0.974556547175711,0.05,1,1,"R0"
0.121843385452416,0.98830515986121,0.05,1,1,"R0"
0.127916258841353,1.00417403053208,0.05,1,1,"R0"
0.133989132230291,1.01317840392089,0.05,1,1,"R0"
0.140062005619229,1.01814938201776,0.05,1,1,"R0"
0.146134879008167,1.03806104359978,0.05,1,1,"R0"
0.152207752397105,1.0437521762069,0.05,1,1,"R0"
0.158280625786043,1.05471547031611,0.05,1,1,"R0"
0.16435349917498,1.06253956719041,0.05,1,1,"R0"
0.170426372563918,1.06678023386637,0.05,1,1,"R0"
0.176499245952856,1.0852908923045,0.05,1,1,"R0"
0.182572119341794,1.10082664547988,0.05,1,1,"R0"
0.188644992730732,1.14337051582197,0.05,1,1,"R0"
0.19471786611967,1.15252713263021,0.05,1,1,"R0"
0.200790739508607,1.16655051028801,0.05,1,1,"R0"
0.206863612897545,1.21826919372699,0.05,1,1,"R0"
0.212936486286483,1.24321104542044,0.05,1,1,"R0"
0.219009359675421,1.28799358388312,0.05,1,1,"R0"
0.225082233064359,1.28844432227668,0.05,1,1,"R0"
0.231155106453297,1.28872582833564,0.05,1,1,"R0"
0.237227979842234,1.29032006016336,0.05,1,1,"R0"
0.243300853231172,1.29273608204062,0.05,1,1,"R0"
0.24937372662011,1.29819533281026,0.05,1,1,"R0"
0.255446600009048,1.30030891080808,0.05,1,1,"R0"
0.261519473397986,1.30631895558163,0.05,1,1,"R0"
0.267592346786924,1.32489611414817,0.05,1,1,"R0"
0.273665220175861,1.34098245494506,0.05,1,1,"R0"
0.279738093564799,1.34437611896432,0.05,1,1,"R0"
0.285810966953737,1.37057850816273,0.05,1,1,"R0"
0.291883840342675,1.37702632239884,0.05,1,1,"R0"
0.297956713731613,1.3980619732559,0.05,1,1,"R0"
0.304029587120551,1.3980619732559,0.05,1,1,"R0"
0.310102460509488,1.4202620126588,0.05,1,1,"R0"
0.316175333898426,1.42080744981425,0.05,1,1,"R0"
0.322248207287364,1.42080744981425,0.05,1,1,"R0"
0.328321080676302,1.42080744981425,0.05,1,1,"R0"
0.0949197860962567,0.943557994316461,0.05,1,1,"R0"
0.272734843205691,0.943561223523535,0.05,1,1,"R0"
0.450549900315124,0.943448590655759,0.05,1,1,"R0"
0.628364957424558,0.94357508362157,0.05,1,1,"R0"
0.806180014533992,0.943313609852146,0.05,1,1,"R0"
0.983995071643426,0.943394118972726,0.05,1,1,"R0"
1.16181012875286,0.943036481471582,0.05,1,1,"R0"
1.33962518586229,0.942903499761534,0.05,1,1,"R0"
1.51744024297173,0.942975296136076,0.05,1,1,"R0"
1.69525530008116,0.943042223317382,0.05,1,1,"R0"
1.8730703571906,0.943095040849123,0.05,1,1,"R0"
