"variable","importance","ID","K.sce","I.sce","N.sce"
"theta",0.00805999638338896,4,0.05,1,1
"Pl",0.00949649544488737,4,0.05,1,1
"Pn",0.00953081582182901,4,0.05,1,1
"Pa",0.0109207744807652,4,0.05,1,1
"Ql",0.0413282371980842,4,0.05,1,1
"Qn",0.014541974356193,4,0.05,1,1
"Qa",0.00794349655995409,4,0.05,1,1
"Ra",0.049040361366978,4,0.05,1,1
"E",0.029437126242115,5,0.05,1,1
"Sl",0.0200634835518464,5,0.05,1,1
"Sn",0.0369144957895684,5,0.05,1,1
"Sa",0.0171772327365934,5,0.05,1,1
"Cll",0.00616265858922131,5,0.05,1,1
"Cnl",0.0088526080502569,5,0.05,1,1
"Cal",0.00499535628859145,5,0.05,1,1
"Cln",0.00785333546740831,5,0.05,1,1
"Cnn",0.00690947560475008,5,0.05,1,1
"Can",0.00709026181645277,5,0.05,1,1
"Cla",0.00707455299892154,5,0.05,1,1
"Cna",0.00858950505917717,5,0.05,1,1
"Caa",0.00620082305151656,5,0.05,1,1
"Cs",0.114211447232761,5,0.05,1,1
"Nlh",0.00582065268142453,5,0.05,1,1
"Nnh",0.00781378517724029,5,0.05,1,1
"Nah",0.00640605341895441,5,0.05,1,1
"Dl",0.00923862069544348,5,0.05,1,1
"Dn",0.00823354182206461,5,0.05,1,1
"Da",0.00837315856784924,5,0.05,1,1
"Hcn",0.150671389572535,5,0.05,1,1
"Hcs",0.0286264571531709,5,0.05,1,1
"I",0.0205768211296466,5,0.05,1,1
"theta",0.010080890501958,5,0.05,1,1
"Pl",0.00863604107227575,5,0.05,1,1
"Pn",0.00818368296623672,5,0.05,1,1
"Pa",0.0114821587095569,5,0.05,1,1
"Ql",0.0265729003780151,5,0.05,1,1
"Qn",0.00987802223387486,5,0.05,1,1
"Qa",0.0090005900897045,5,0.05,1,1
"Ra",0.05809537584667,5,0.05,1,1
"E",0.0230519011455774,6,0.05,1,1
"Sl",0.015912057940939,6,0.05,1,1
"Sn",0.0522310102878816,6,0.05,1,1
"Sa",0.0264638394067395,6,0.05,1,1
"Cll",0.00794811293727444,6,0.05,1,1
"Cnl",0.00831056000171689,6,0.05,1,1
"Cal",0.0057366795860125,6,0.05,1,1
"Cln",0.00852320846137748,6,0.05,1,1
"Cnn",0.00641337880592457,6,0.05,1,1
"Can",0.00573956166667479,6,0.05,1,1
"Cla",0.00963567411977143,6,0.05,1,1
"Cna",0.00541019576458227,6,0.05,1,1
"Caa",0.00556635525734159,6,0.05,1,1
"Cs",0.0990965629835432,6,0.05,1,1
"Nlh",0.00836341117385974,6,0.05,1,1
"Nnh",0.00597616300902556,6,0.05,1,1
"Nah",0.00511257485474474,6,0.05,1,1
"Dl",0.00970360345424068,6,0.05,1,1
"Dn",0.00597255822994359,6,0.05,1,1
"Da",0.00816661976500487,6,0.05,1,1
"Hcn",0.141880702589477,6,0.05,1,1
"Hcs",0.024582852561279,6,0.05,1,1
"I",0.0197738899784172,6,0.05,1,1
"theta",0.0128490776475849,6,0.05,1,1
"Pl",0.0106839117887837,6,0.05,1,1
"Pn",0.0070179752944855,6,0.05,1,1
"Pa",0.0165784812004597,6,0.05,1,1
"Ql",0.0297960129053344,6,0.05,1,1
"Qn",0.0120683637387086,6,0.05,1,1
"Qa",0.00708153062552097,6,0.05,1,1
"Ra",0.0725741142713947,6,0.05,1,1
"E",0.019932198243282,7,0.05,1,1
"Sl",0.0199320342244903,7,0.05,1,1
"Sn",0.0327514478546014,7,0.05,1,1
"Sa",0.0262082064999781,7,0.05,1,1
"Cll",0.00893719265483064,7,0.05,1,1
"Cnl",0.0076754271661223,7,0.05,1,1
"Cal",0.00640285145241045,7,0.05,1,1
"Cln",0.00808102670606527,7,0.05,1,1
"Cnn",0.00608811203294918,7,0.05,1,1
"Can",0.00674631267400666,7,0.05,1,1
"Cla",0.00735495643453328,7,0.05,1,1
"Cna",0.00681352948701688,7,0.05,1,1
"Caa",0.00641928563998489,7,0.05,1,1
"Cs",0.0984590817159625,7,0.05,1,1
"Nlh",0.00924532369687127,7,0.05,1,1
"Nnh",0.0054633876744573,7,0.05,1,1
"Nah",0.0061478877936837,7,0.05,1,1
"Dl",0.00952975052839407,7,0.05,1,1
"Dn",0.00760405150083131,7,0.05,1,1
"Da",0.00786593898557525,7,0.05,1,1
"Hcn",0.145414216323399,7,0.05,1,1
"Hcs",0.0336788843239361,7,0.05,1,1
"I",0.0218744041437667,7,0.05,1,1
"theta",0.00910972797031207,7,0.05,1,1
"Pl",0.00810771034429862,7,0.05,1,1
"Pn",0.00846526573080709,7,0.05,1,1
"Pa",0.0136030851578277,7,0.05,1,1
"Ql",0.0482049843574086,7,0.05,1,1
"Qn",0.0095925504097651,7,0.05,1,1
"Qa",0.00832122437344373,7,0.05,1,1
"Ra",0.0595502044972484,7,0.05,1,1
"E",0.0349827689312866,8,0.05,1,1
"Sl",0.0195191478547811,8,0.05,1,1
"Sn",0.0343092290923177,8,0.05,1,1
"Sa",0.0251811754652811,8,0.05,1,1
"Cll",0.010568881169332,8,0.05,1,1
"Cnl",0.00732980259514546,8,0.05,1,1
"Cal",0.00528775745434011,8,0.05,1,1
"Cln",0.00946513517875737,8,0.05,1,1
"Cnn",0.00794063495803656,8,0.05,1,1
"Can",0.00616191307559065,8,0.05,1,1
"Cla",0.0088912110398188,8,0.05,1,1
"Cna",0.00804836450412569,8,0.05,1,1
"Caa",0.00618648534375043,8,0.05,1,1
"Cs",0.0893432554765506,8,0.05,1,1
"Nlh",0.00855096229058991,8,0.05,1,1
"Nnh",0.00738291281616427,8,0.05,1,1
"Nah",0.00716048787188552,8,0.05,1,1
"Dl",0.014013419466646,8,0.05,1,1
"Dn",0.0075793599574313,8,0.05,1,1
"Da",0.00722359836601146,8,0.05,1,1
"Hcn",0.142653825719277,8,0.05,1,1
"Hcs",0.0246801612282559,8,0.05,1,1
"I",0.0141795980254363,8,0.05,1,1
"theta",0.00855144702340966,8,0.05,1,1
"Pl",0.0084323557942297,8,0.05,1,1
"Pn",0.00802765754427761,8,0.05,1,1
"Pa",0.0137304207891122,8,0.05,1,1
"Ql",0.0397597837405449,8,0.05,1,1
"Qn",0.00926816648021276,8,0.05,1,1
"Qa",0.00888938907355324,8,0.05,1,1
"Ra",0.0527306460988305,8,0.05,1,1
"E",0.0300867452793968,9,0.05,1,1
"Sl",0.0150150983911124,9,0.05,1,1
"Sn",0.0267824558007201,9,0.05,1,1
"Sa",0.024458918768176,9,0.05,1,1
"Cll",0.0106707544939711,9,0.05,1,1
"Cnl",0.00608272852296568,9,0.05,1,1
"Cal",0.00535582484834114,9,0.05,1,1
"Cln",0.0108996929280482,9,0.05,1,1
"Cnn",0.00550286861931728,9,0.05,1,1
"Can",0.00567392102592647,9,0.05,1,1
"Cla",0.0110592154722773,9,0.05,1,1
"Cna",0.0054589961449642,9,0.05,1,1
"Caa",0.00511269620953888,9,0.05,1,1
"Cs",0.100303315603748,9,0.05,1,1
"Nlh",0.0101521307815164,9,0.05,1,1
"Nnh",0.00503301738231258,9,0.05,1,1
"Nah",0.00487663778943678,9,0.05,1,1
"Dl",0.0078841231980203,9,0.05,1,1
"Dn",0.00866149425638961,9,0.05,1,1
"Da",0.00654884923296715,9,0.05,1,1
"Hcn",0.122797122488828,9,0.05,1,1
"Hcs",0.031717142311248,9,0.05,1,1
"I",0.0195521525033355,9,0.05,1,1
