"par","yhat","K.sce","I.sce","N.sce","outcome"
6.02734257074201,0.191000420327385,0.05,1,1,"systemic"
72.2237361806308,0.190838005411241,0.05,1,1,"systemic"
138.42012979052,0.189912231177675,0.05,1,1,"systemic"
204.616523400408,0.187768799949237,0.05,1,1,"systemic"
270.812917010297,0.185772466309303,0.05,1,1,"systemic"
337.009310620186,0.182024254171638,0.05,1,1,"systemic"
403.205704230075,0.180089522719658,0.05,1,1,"systemic"
469.402097839963,0.177977207041541,0.05,1,1,"systemic"
535.598491449852,0.176630412336612,0.05,1,1,"systemic"
601.794885059741,0.174353614560291,0.05,1,1,"systemic"
667.99127866963,0.172962612951178,0.05,1,1,"systemic"
734.187672279518,0.172061502769849,0.05,1,1,"systemic"
800.384065889407,0.170912149124489,0.05,1,1,"systemic"
866.580459499296,0.169090890089838,0.05,1,1,"systemic"
932.776853109185,0.16794021510662,0.05,1,1,"systemic"
998.973246719073,0.16641218201333,0.05,1,1,"systemic"
1065.16964032896,0.165109302318726,0.05,1,1,"systemic"
1131.36603393885,0.164122294348301,0.05,1,1,"systemic"
1197.56242754874,0.163007905902974,0.05,1,1,"systemic"
1263.75882115863,0.161788287158478,0.05,1,1,"systemic"
1329.95521476852,0.161010391265154,0.05,1,1,"systemic"
1396.15160837841,0.160199866605735,0.05,1,1,"systemic"
1462.34800198829,0.159592385633223,0.05,1,1,"systemic"
1528.54439559818,0.158870550245973,0.05,1,1,"systemic"
1594.74078920807,0.157873648314467,0.05,1,1,"systemic"
1660.93718281796,0.156957498269934,0.05,1,1,"systemic"
1727.13357642785,0.156324215978989,0.05,1,1,"systemic"
1793.32997003774,0.155860635826992,0.05,1,1,"systemic"
1859.52636364763,0.155267919100959,0.05,1,1,"systemic"
1925.72275725752,0.154657563440365,0.05,1,1,"systemic"
1991.9191508674,0.1543601459709,0.05,1,1,"systemic"
2058.11554447729,0.153993924258677,0.05,1,1,"systemic"
2124.31193808718,0.153844212964739,0.05,1,1,"systemic"
2190.50833169707,0.153573472818762,0.05,1,1,"systemic"
2256.70472530696,0.153176546754827,0.05,1,1,"systemic"
2322.90111891685,0.153078101803564,0.05,1,1,"systemic"
2389.09751252674,0.15306868497203,0.05,1,1,"systemic"
2455.29390613663,0.152994026521991,0.05,1,1,"systemic"
2521.49029974651,0.152934820747796,0.05,1,1,"systemic"
2587.6866933564,0.152870922163669,0.05,1,1,"systemic"
2653.88308696629,0.15297330496889,0.05,1,1,"systemic"
2720.07948057618,0.153246366620988,0.05,1,1,"systemic"
2786.27587418607,0.153365920374337,0.05,1,1,"systemic"
2852.47226779596,0.15334184729542,0.05,1,1,"systemic"
2918.66866140585,0.153587066188295,0.05,1,1,"systemic"
