"par","yhat","K.sce","I.sce","N.sce","outcome"
6.02734257074201,0.32785548489395,0.05,1,1,"nonsystemic"
72.2237361806308,0.327855399004329,0.05,1,1,"nonsystemic"
138.42012979052,0.327492338933403,0.05,1,1,"nonsystemic"
204.616523400408,0.327443575375239,0.05,1,1,"nonsystemic"
270.812917010297,0.327158009417556,0.05,1,1,"nonsystemic"
337.009310620186,0.326829423485341,0.05,1,1,"nonsystemic"
403.205704230075,0.326396333408505,0.05,1,1,"nonsystemic"
469.402097839963,0.326089007500296,0.05,1,1,"nonsystemic"
535.598491449852,0.325894799377911,0.05,1,1,"nonsystemic"
601.794885059741,0.325230854731924,0.05,1,1,"nonsystemic"
667.99127866963,0.323975974708445,0.05,1,1,"nonsystemic"
734.187672279518,0.322739354170566,0.05,1,1,"nonsystemic"
800.384065889407,0.322103826986303,0.05,1,1,"nonsystemic"
866.580459499296,0.321702238395207,0.05,1,1,"nonsystemic"
932.776853109185,0.321301176989251,0.05,1,1,"nonsystemic"
998.973246719073,0.32121129679514,0.05,1,1,"nonsystemic"
1065.16964032896,0.320861416613778,0.05,1,1,"nonsystemic"
1131.36603393885,0.320505915285774,0.05,1,1,"nonsystemic"
1197.56242754874,0.320165611953509,0.05,1,1,"nonsystemic"
1263.75882115863,0.319882569237984,0.05,1,1,"nonsystemic"
1329.95521476852,0.319170250584507,0.05,1,1,"nonsystemic"
1396.15160837841,0.318821601005437,0.05,1,1,"nonsystemic"
1462.34800198829,0.318520679128445,0.05,1,1,"nonsystemic"
1528.54439559818,0.318098082274416,0.05,1,1,"nonsystemic"
1594.74078920807,0.317732652020832,0.05,1,1,"nonsystemic"
1660.93718281796,0.317326613037674,0.05,1,1,"nonsystemic"
1727.13357642785,0.317061510041128,0.05,1,1,"nonsystemic"
1793.32997003774,0.316793410008679,0.05,1,1,"nonsystemic"
1859.52636364763,0.316550434307192,0.05,1,1,"nonsystemic"
1925.72275725752,0.316312332267582,0.05,1,1,"nonsystemic"
1991.9191508674,0.316255436240167,0.05,1,1,"nonsystemic"
2058.11554447729,0.316087814183622,0.05,1,1,"nonsystemic"
2124.31193808718,0.315976456824959,0.05,1,1,"nonsystemic"
2190.50833169707,0.3158841969236,0.05,1,1,"nonsystemic"
2256.70472530696,0.315804211054561,0.05,1,1,"nonsystemic"
2322.90111891685,0.315800220136123,0.05,1,1,"nonsystemic"
2389.09751252674,0.315829983483286,0.05,1,1,"nonsystemic"
2455.29390613663,0.315662333201376,0.05,1,1,"nonsystemic"
2521.49029974651,0.315434185123603,0.05,1,1,"nonsystemic"
2587.6866933564,0.315384299690483,0.05,1,1,"nonsystemic"
2653.88308696629,0.31534744349433,0.05,1,1,"nonsystemic"
2720.07948057618,0.315249985606722,0.05,1,1,"nonsystemic"
2786.27587418607,0.315240041493434,0.05,1,1,"nonsystemic"
2852.47226779596,0.315237105120235,0.05,1,1,"nonsystemic"
2918.66866140585,0.315236914002597,0.05,1,1,"nonsystemic"
2984.86505501574,0.31523627830206,0.05,1,1,"nonsystemic"
3051.06144862562,0.315236665450209,0.05,1,1,"nonsystemic"
3117.25784223551,0.315236665450209,0.05,1,1,"nonsystemic"
3183.4542358454,0.315236665450209,0.05,1,1,"nonsystemic"
3249.65062945529,0.315236665450209,0.05,1,1,"nonsystemic"
3315.84702306518,0.315236665450209,0.05,1,1,"nonsystemic"
0.00900665383712314,0.322423315685163,0.05,1,1,"nonsystemic"
0.011980342943114,0.322423315685163,0.05,1,1,"nonsystemic"
0.0149540320491048,0.322386195206359,0.05,1,1,"nonsystemic"
0.0179277211550957,0.322069187397513,0.05,1,1,"nonsystemic"
0.0209014102610865,0.321930914445244,0.05,1,1,"nonsystemic"
