"variable","importance","ID","K.sce","I.sce","N.sce"
"Hcs",0.000193540791535215,4,0.05,1,1
"I",0.000334046485698005,4,0.05,1,1
"theta",0.000123500602831969,4,0.05,1,1
"Pl",0.000121942869686816,4,0.05,1,1
"Pn",0.000110981010166429,4,0.05,1,1
"Pa",7.23695003288387e-05,4,0.05,1,1
"Ql",0.000189991580520098,4,0.05,1,1
"Qn",0.000112528429825466,4,0.05,1,1
"Qa",0.000115511344704365,4,0.05,1,1
"Ra",0.00654470546368151,4,0.05,1,1
"E",0.00357383185328736,5,0.05,1,1
"Sl",0.00172788576796306,5,0.05,1,1
"Sn",0.00237101258342777,5,0.05,1,1
"Sa",0.00153541718820331,5,0.05,1,1
"Cll",0.000113768135944556,5,0.05,1,1
"Cnl",8.25310024033581e-05,5,0.05,1,1
"Cal",9.67787867280982e-05,5,0.05,1,1
"Cln",0.000131439013656176,5,0.05,1,1
"Cnn",8.41987682695102e-05,5,0.05,1,1
"Can",0.000127796352051188,5,0.05,1,1
"Cla",0.000123320869102455,5,0.05,1,1
"Cna",0.000107509261441002,5,0.05,1,1
"Caa",0.0001131973758683,5,0.05,1,1
"Cs",0.000326844042517469,5,0.05,1,1
"Nlh",0.000130741255284144,5,0.05,1,1
"Nnh",0.000110707595086626,5,0.05,1,1
"Nah",0.000116762100038481,5,0.05,1,1
"Dl",0.000134814369536265,5,0.05,1,1
"Dn",0.000130355716650087,5,0.05,1,1
"Da",0.000117344755133827,5,0.05,1,1
"Hcn",0.000322132483445859,5,0.05,1,1
"Hcs",0.00048762024418059,5,0.05,1,1
"I",0.00033467690963905,5,0.05,1,1
"theta",0.000155517656847786,5,0.05,1,1
"Pl",0.00010062012860988,5,0.05,1,1
"Pn",8.49484857109908e-05,5,0.05,1,1
"Pa",0.000146923205119622,5,0.05,1,1
"Ql",0.000281942608068011,5,0.05,1,1
"Qn",0.000151893498615211,5,0.05,1,1
"Qa",0.000114713533052418,5,0.05,1,1
"Ra",0.00682942994406031,5,0.05,1,1
"E",0.00299187627709631,6,0.05,1,1
"Sl",0.00187943389437345,6,0.05,1,1
"Sn",0.00271456463579057,6,0.05,1,1
"Sa",0.00209003622612755,6,0.05,1,1
"Cll",0.000116852112825341,6,0.05,1,1
"Cnl",0.000146076900997394,6,0.05,1,1
"Cal",0.000109224374442379,6,0.05,1,1
"Cln",0.000107508150902033,6,0.05,1,1
"Cnn",0.000174691543358239,6,0.05,1,1
"Can",0.00013040495390467,6,0.05,1,1
"Cla",0.00016139604342534,6,0.05,1,1
"Cna",0.000179222965029129,6,0.05,1,1
"Caa",0.000109501600040947,6,0.05,1,1
"Cs",0.00018731775898548,6,0.05,1,1
"Nlh",0.000136687621443528,6,0.05,1,1
"Nnh",0.000159848962573791,6,0.05,1,1
"Nah",0.000108006712840682,6,0.05,1,1
"Dl",0.000100296045069972,6,0.05,1,1
"Dn",0.000115519376452886,6,0.05,1,1
"Da",0.00010822070650492,6,0.05,1,1
"Hcn",0.000516349135777534,6,0.05,1,1
"Hcs",0.000409523408488536,6,0.05,1,1
"I",0.000255835134068976,6,0.05,1,1
"theta",8.75734113211861e-05,6,0.05,1,1
"Pl",0.00011833652993134,6,0.05,1,1
"Pn",9.24892830037629e-05,6,0.05,1,1
"Pa",0.000106670467248411,6,0.05,1,1
"Ql",0.000199530113987122,6,0.05,1,1
"Qn",0.0001581100215433,6,0.05,1,1
"Qa",0.000107934491444933,6,0.05,1,1
"Ra",0.00627456541555629,6,0.05,1,1
"E",0.00292731682959377,7,0.05,1,1
"Sl",0.00125998753857384,7,0.05,1,1
"Sn",0.00333449738570054,7,0.05,1,1
"Sa",0.00219601354200041,7,0.05,1,1
"Cll",0.000157035772962655,7,0.05,1,1
"Cnl",0.000109663229899639,7,0.05,1,1
"Cal",0.00014811196705386,7,0.05,1,1
"Cln",0.000184238231696341,7,0.05,1,1
"Cnn",9.23538938082336e-05,7,0.05,1,1
"Can",0.000214187798939843,7,0.05,1,1
"Cla",0.00018253121161847,7,0.05,1,1
