"variable","importance","ID","K.sce","I.sce","N.sce"
"Hcs",0.00176982986639211,4,0.05,1,1
"I",0.000935417162144661,4,0.05,1,1
"theta",0.00016284986460475,4,0.05,1,1
"Pl",0.000148382251324959,4,0.05,1,1
"Pn",0.000136020900807731,4,0.05,1,1
"Pa",0.000227532027994743,4,0.05,1,1
"Ql",0.00219833582798721,4,0.05,1,1
"Qn",0.000165322525949793,4,0.05,1,1
"Qa",0.000140937170707486,4,0.05,1,1
"Ra",0.000523644303557973,4,0.05,1,1
"E",0.000357509799302485,5,0.05,1,1
"Sl",0.000333548264810004,5,0.05,1,1
"Sn",0.000217056575541252,5,0.05,1,1
"Sa",0.000141157066606086,5,0.05,1,1
"Cll",0.000478193508290603,5,0.05,1,1
"Cnl",0.000109588206332684,5,0.05,1,1
"Cal",0.000109655966570863,5,0.05,1,1
"Cln",0.000350408800693357,5,0.05,1,1
"Cnn",0.000127686498744176,5,0.05,1,1
"Can",8.53202879676382e-05,5,0.05,1,1
"Cla",0.00064432227307444,5,0.05,1,1
"Cna",0.00016225109236628,5,0.05,1,1
"Caa",0.000100565588153467,5,0.05,1,1
"Cs",0.00670169672722632,5,0.05,1,1
"Nlh",0.000458215499876386,5,0.05,1,1
"Nnh",0.000143717316077513,5,0.05,1,1
"Nah",9.78021207041457e-05,5,0.05,1,1
"Dl",0.000135133264050977,5,0.05,1,1
"Dn",0.000211498783884291,5,0.05,1,1
"Da",0.000136065820952452,5,0.05,1,1
"Hcn",0.00878608622285192,5,0.05,1,1
"Hcs",0.00150470827405777,5,0.05,1,1
"I",0.000998238600462,5,0.05,1,1
"theta",0.000109235659802065,5,0.05,1,1
"Pl",0.000157673226674096,5,0.05,1,1
"Pn",0.000136560713382339,5,0.05,1,1
"Pa",0.000285139438275665,5,0.05,1,1
"Ql",0.00217501628074749,5,0.05,1,1
"Qn",0.000154244768330903,5,0.05,1,1
"Qa",0.000141709098686701,5,0.05,1,1
"Ra",0.00053763692639145,5,0.05,1,1
"E",0.000292392912864006,6,0.05,1,1
"Sl",0.00028953409121267,6,0.05,1,1
"Sn",0.000166849554983121,6,0.05,1,1
"Sa",0.000191619556653468,6,0.05,1,1
"Cll",0.000594267292204574,6,0.05,1,1
"Cnl",0.000124057699099774,6,0.05,1,1
"Cal",0.000174827771542892,6,0.05,1,1
"Cln",0.000450344534413778,6,0.05,1,1
"Cnn",0.000160527795940589,6,0.05,1,1
"Can",0.00010846477617321,6,0.05,1,1
"Cla",0.000639957280183383,6,0.05,1,1
"Cna",0.00017686258519696,6,0.05,1,1
"Caa",0.000136972899581252,6,0.05,1,1
"Cs",0.00669358670598102,6,0.05,1,1
"Nlh",0.0005981871290974,6,0.05,1,1
"Nnh",0.000140293434519643,6,0.05,1,1
"Nah",0.000120274734909228,6,0.05,1,1
"Dl",0.000164906923811747,6,0.05,1,1
"Dn",0.000190060340544057,6,0.05,1,1
"Da",0.000156595423309663,6,0.05,1,1
"Hcn",0.0126034608767967,6,0.05,1,1
"Hcs",0.00149334631976544,6,0.05,1,1
"I",0.000835122314297998,6,0.05,1,1
"theta",0.000161508081108628,6,0.05,1,1
"Pl",0.000214346206005112,6,0.05,1,1
"Pn",0.000215942605498867,6,0.05,1,1
"Pa",0.000216270371805497,6,0.05,1,1
"Ql",0.00211170778025115,6,0.05,1,1
"Qn",0.000140626306204926,6,0.05,1,1
"Qa",0.000132769068186934,6,0.05,1,1
"Ra",0.000460956489968864,6,0.05,1,1
"E",0.000282671576810736,7,0.05,1,1
"Sl",0.00018699613850084,7,0.05,1,1
"Sn",0.000178727017465764,7,0.05,1,1
"Sa",0.000176477759857572,7,0.05,1,1
"Cll",0.000617029473742719,7,0.05,1,1
"Cnl",0.000131513572258113,7,0.05,1,1
"Cal",9.06175729518133e-05,7,0.05,1,1
"Cln",0.000372333496103257,7,0.05,1,1
"Cnn",0.00012911764039378,7,0.05,1,1
"Can",9.72546900510225e-05,7,0.05,1,1
"Cla",0.00061237618605391,7,0.05,1,1
"Cna",0.000119095789079999,7,0.05,1,1
"Caa",8.2738282772413e-05,7,0.05,1,1
"Cs",0.00656596692527831,7,0.05,1,1
"Nlh",0.000542081702604543,7,0.05,1,1
"Nnh",0.000135036758624114,7,0.05,1,1
"Nah",8.8538059605437e-05,7,0.05,1,1
"Dl",0.000126138820508162,7,0.05,1,1
"Dn",0.000200298965775998,7,0.05,1,1
"Da",0.00012305025160655,7,0.05,1,1
"Hcn",0.01063855768011,7,0.05,1,1
"Hcs",0.0014037413680614,7,0.05,1,1
"I",0.00112287623076092,7,0.05,1,1
"theta",0.000118547302383216,7,0.05,1,1
"Pl",0.000144949406283172,7,0.05,1,1
"Pn",0.000145559891048252,7,0.05,1,1
"Pa",0.000391227491154268,7,0.05,1,1
"Ql",0.00235250759586071,7,0.05,1,1
"Qn",0.000162618502862838,7,0.05,1,1
"Qa",0.000109028422336713,7,0.05,1,1
"Ra",0.000422327851792687,7,0.05,1,1
"E",0.000308691902818961,8,0.05,1,1
"Sl",0.000227961373997789,8,0.05,1,1
"Sn",0.000155532131219154,8,0.05,1,1
"Sa",0.000163719229873131,8,0.05,1,1
"Cll",0.00062562808372773,8,0.05,1,1
"Cnl",0.000101066455266699,8,0.05,1,1
"Cal",9.92854911411949e-05,8,0.05,1,1
"Cln",0.00038547738865753,8,0.05,1,1
"Cnn",9.50512168017939e-05,8,0.05,1,1
"Can",0.000108787783859599,8,0.05,1,1
"Cla",0.000668155761995825,8,0.05,1,1
"Cna",0.000105390084602251,8,0.05,1,1
"Caa",7.87284297379613e-05,8,0.05,1,1
"Cs",0.00650312512043914,8,0.05,1,1
"Nlh",0.000550634891557735,8,0.05,1,1
"Nnh",0.000120756279733938,8,0.05,1,1
"Nah",9.93624037950915e-05,8,0.05,1,1
"Dl",0.000185819365059065,8,0.05,1,1
"Dn",0.000150512041416767,8,0.05,1,1
"Da",0.0001352441204243,8,0.05,1,1
"Hcn",0.0104077597798656,8,0.05,1,1
"Hcs",0.00125261722733395,8,0.05,1,1
"I",0.000755301546394422,8,0.05,1,1
"theta",0.000112524929161919,8,0.05,1,1
"Pl",0.00016637962242612,8,0.05,1,1
"Pn",0.000109016937702581,8,0.05,1,1
"Pa",0.000249598794067237,8,0.05,1,1
"Ql",0.00213564567394906,8,0.05,1,1
"Qn",0.000127827366216561,8,0.05,1,1
"Qa",0.000168974472229196,8,0.05,1,1
"Ra",0.000516998843855488,8,0.05,1,1
"E",0.000417939457420065,9,0.05,1,1
"Sl",0.000209278539219257,9,0.05,1,1
"Sn",0.000138861249548002,9,0.05,1,1
"Sa",0.000148287077190358,9,0.05,1,1
"Cll",0.000431458652466856,9,0.05,1,1
"Cnl",0.000146814994109292,9,0.05,1,1
"Cal",8.25647555153053e-05,9,0.05,1,1
"Cln",0.000298894341587718,9,0.05,1,1
"Cnn",0.000157393534798416,9,0.05,1,1
"Can",9.09587149199647e-05,9,0.05,1,1
"Cla",0.000523146765641341,9,0.05,1,1
"Cna",0.00014062443278465,9,0.05,1,1
"Caa",0.000115822213093121,9,0.05,1,1
"Cs",0.00709563607730043,9,0.05,1,1
"Nlh",0.000433527466186183,9,0.05,1,1
"Nnh",0.000156746112295234,9,0.05,1,1
"Nah",0.000132559583107353,9,0.05,1,1
"Dl",0.000161991923186662,9,0.05,1,1
"Dn",0.000180234570204883,9,0.05,1,1
"Da",0.000129545156353802,9,0.05,1,1
"Hcn",0.0104577256518117,9,0.05,1,1
"Hcs",0.00165492813265018,9,0.05,1,1
"I",0.000944162863912124,9,0.05,1,1
"theta",0.000115850277487133,9,0.05,1,1
"Pl",0.000130905744021984,9,0.05,1,1
"Pn",0.000136983077960638,9,0.05,1,1
"Pa",0.000230041419030542,9,0.05,1,1
"Ql",0.00240314784593219,9,0.05,1,1
"Qn",0.000122813187357643,9,0.05,1,1
"Qa",0.000153269327895164,9,0.05,1,1
"Ra",0.000447948312105327,9,0.05,1,1
"E",0.000216971020901437,10,0.05,1,1
"Sl",0.000169366307274269,10,0.05,1,1
"Sn",0.000168491251890375,10,0.05,1,1
"Sa",0.000213297594708687,10,0.05,1,1
"Cll",0.00061245003671608,10,0.05,1,1
"Cnl",0.000115858786598356,10,0.05,1,1
"Cal",9.43027205476248e-05,10,0.05,1,1
"Cln",0.000438738968179196,10,0.05,1,1
"Cnn",0.0001299214332785,10,0.05,1,1
"Can",8.35089365581769e-05,10,0.05,1,1
"Cla",0.000765918739943396,10,0.05,1,1
"Cna",9.97716195878238e-05,10,0.05,1,1
"Caa",9.92706105732923e-05,10,0.05,1,1
"Cs",0.00670278493316118,10,0.05,1,1
"Nlh",0.000601533683717703,10,0.05,1,1
"Nnh",0.000119248090470304,10,0.05,1,1
"Nah",0.000119207411532666,10,0.05,1,1
"Dl",0.000173932401276709,10,0.05,1,1
"Dn",0.000156658292403502,10,0.05,1,1
"Da",0.000174478944583789,10,0.05,1,1
"Hcn",0.0112804464832961,10,0.05,1,1
"Hcs",0.00192969283009888,10,0.05,1,1
"I",0.0011363101043923,10,0.05,1,1
"theta",0.000153220191143436,10,0.05,1,1
"Pl",0.000125613028880861,10,0.05,1,1
"Pn",0.000145523480960932,10,0.05,1,1
"Pa",0.000352895571362469,10,0.05,1,1
"Ql",0.00195383049032143,10,0.05,1,1
"Qn",0.000141428055333628,10,0.05,1,1
"Qa",0.000121158302947369,10,0.05,1,1
"Ra",0.000517669232989486,10,0.05,1,1
"E",0.000240350534484727,11,0.05,1,1
"Sl",0.000290292124016603,11,0.05,1,1
"Sn",0.000201928248329968,11,0.05,1,1
"Sa",0.000139492882902557,11,0.05,1,1
"Cll",0.000372882156308609,11,0.05,1,1
"Cnl",0.000120914011288988,11,0.05,1,1
"Cal",0.000128474427109565,11,0.05,1,1
"Cln",0.000368489884290448,11,0.05,1,1
"Cnn",0.000146046350047077,11,0.05,1,1
"Can",9.26684875596344e-05,11,0.05,1,1
"Cla",0.000673136654333075,11,0.05,1,1
"Cna",0.000151865555349203,11,0.05,1,1
"Caa",8.62190526397146e-05,11,0.05,1,1
"Cs",0.00713753450862009,11,0.05,1,1
"Nlh",0.000447188117600282,11,0.05,1,1
"Nnh",0.000160055429331728,11,0.05,1,1
