"variable","importance","ID","K.sce","I.sce","N.sce"
"I",0.00157075433521107,4,0.05,1,1
"theta",0.00025496303756857,4,0.05,1,1
"Pl",0.000330870792095351,4,0.05,1,1
"Pn",0.000243890676682062,4,0.05,1,1
"Pa",0.000411326690734934,4,0.05,1,1
"Ql",0.00343039447006849,4,0.05,1,1
"Qn",0.000314167050884101,4,0.05,1,1
"Qa",0.000276888168048188,4,0.05,1,1
"Ra",0.00394712205697512,4,0.05,1,1
"E",0.00100080085480314,5,0.05,1,1
"Sl",0.000657630185975502,5,0.05,1,1
"Sn",0.00446375782859311,5,0.05,1,1
"Sa",0.000944219022282822,5,0.05,1,1
"Cll",0.000174117618721235,5,0.05,1,1
"Cnl",0.000334508346057237,5,0.05,1,1
"Cal",0.00021606134450924,5,0.05,1,1
"Cln",0.000169607087845131,5,0.05,1,1
"Cnn",0.000280686430566381,5,0.05,1,1
"Can",0.000230127896943702,5,0.05,1,1
"Cla",0.000169177490001511,5,0.05,1,1
"Cna",0.000293054065746703,5,0.05,1,1
"Caa",0.000174123432733282,5,0.05,1,1
"Cs",0.00537716391868205,5,0.05,1,1
"Nlh",0.000195556267832637,5,0.05,1,1
"Nnh",0.000210498286864237,5,0.05,1,1
"Nah",0.000218519261327534,5,0.05,1,1
"Dl",0.000312934212341973,5,0.05,1,1
"Dn",0.000282642404962217,5,0.05,1,1
"Da",0.00035068215040871,5,0.05,1,1
"Hcn",0.00933306365749318,5,0.05,1,1
"Hcs",0.00315912665432678,5,0.05,1,1
"I",0.00292161030413928,5,0.05,1,1
"theta",0.000401646450975689,5,0.05,1,1
"Pl",0.000359035660486791,5,0.05,1,1
"Pn",0.00024698353217071,5,0.05,1,1
"Pa",0.000502840888993374,5,0.05,1,1
"Ql",0.00272897058089936,5,0.05,1,1
"Qn",0.00028394142537858,5,0.05,1,1
"Qa",0.000289062698599847,5,0.05,1,1
"Ra",0.0035545339837938,5,0.05,1,1
"E",0.00100964915876091,6,0.05,1,1
"Sl",0.000582379172389939,6,0.05,1,1
"Sn",0.00187196533878249,6,0.05,1,1
"Sa",0.000826256888885646,6,0.05,1,1
"Cll",0.0001841451145149,6,0.05,1,1
"Cnl",0.000322245585594372,6,0.05,1,1
"Cal",0.000156627717085271,6,0.05,1,1
"Cln",0.000185641513208713,6,0.05,1,1
"Cnn",0.000281971497400132,6,0.05,1,1
"Can",0.000131808933729064,6,0.05,1,1
"Cla",0.000191198949582731,6,0.05,1,1
"Cna",0.000259919378688593,6,0.05,1,1
"Caa",0.000156523147985735,6,0.05,1,1
"Cs",0.00475886119433729,6,0.05,1,1
"Nlh",0.000199153456670218,6,0.05,1,1
"Nnh",0.000316303330520374,6,0.05,1,1
"Nah",0.000117359668530702,6,0.05,1,1
"Dl",0.000205793417280715,6,0.05,1,1
"Dn",0.000257810736092411,6,0.05,1,1
"Da",0.000290535514495856,6,0.05,1,1
"Hcn",0.00744195363675853,6,0.05,1,1
"Hcs",0.00416118266033173,6,0.05,1,1
"I",0.00297049931369645,6,0.05,1,1
"theta",0.000399084623416907,6,0.05,1,1
"Pl",0.000220469350064334,6,0.05,1,1
"Pn",0.000241735488013934,6,0.05,1,1
"Pa",0.000366350257114067,6,0.05,1,1
"Ql",0.00325638433726605,6,0.05,1,1
"Qn",0.000246363852446225,6,0.05,1,1
"Qa",0.000273998570012556,6,0.05,1,1
"Ra",0.00422863124301242,6,0.05,1,1
"E",0.000920404058952536,7,0.05,1,1
"Sl",0.000924637516836676,7,0.05,1,1
"Sn",0.00194495833373003,7,0.05,1,1
"Sa",0.000653183252102652,7,0.05,1,1
"Cll",0.000200913796447003,7,0.05,1,1
"Cnl",0.000262019837985612,7,0.05,1,1
"Cal",0.000201611026798064,7,0.05,1,1
"Cln",0.00032805284165267,7,0.05,1,1
"Cnn",0.000188789651606909,7,0.05,1,1
"Can",0.000158853503910911,7,0.05,1,1
"Cla",0.000255095060876293,7,0.05,1,1
"Cna",0.000153593080401488,7,0.05,1,1
"Caa",0.000159808934133931,7,0.05,1,1
"Cs",0.0067842490923474,7,0.05,1,1
"Nlh",0.000252718458485826,7,0.05,1,1
"Nnh",0.000166052159272604,7,0.05,1,1
"Nah",0.000187421392785061,7,0.05,1,1
"Dl",0.00022601033555255,7,0.05,1,1
"Dn",0.00022662762581363,7,0.05,1,1
"Da",0.000251721624408438,7,0.05,1,1
"Hcn",0.00849523378778527,7,0.05,1,1
"Hcs",0.00388156581557538,7,0.05,1,1
"I",0.0029413969211998,7,0.05,1,1
"theta",0.000165368755300037,7,0.05,1,1
"Pl",0.000211163530521404,7,0.05,1,1
"Pn",0.000200324851524388,7,0.05,1,1
"Pa",0.000466136681176845,7,0.05,1,1
"Ql",0.00257797706930896,7,0.05,1,1
"Qn",0.000239363967738776,7,0.05,1,1
"Qa",0.000348029484672969,7,0.05,1,1
"Ra",0.00320141286815373,7,0.05,1,1
"E",0.000802116042036625,8,0.05,1,1
"Sl",0.000739765954772411,8,0.05,1,1
"Sn",0.00315377147490862,8,0.05,1,1
"Sa",0.000904106895098904,8,0.05,1,1
"Cll",0.00022509396090124,8,0.05,1,1
"Cnl",0.000211806880456617,8,0.05,1,1
"Cal",0.000228648677315551,8,0.05,1,1
"Cln",0.000278277190393241,8,0.05,1,1
"Cnn",0.000206217136367899,8,0.05,1,1
"Can",0.000188345910999254,8,0.05,1,1
"Cla",0.000235584071947848,8,0.05,1,1
"Cna",0.000239765858425451,8,0.05,1,1
"Caa",0.000187367376033105,8,0.05,1,1
"Cs",0.00588563945752868,8,0.05,1,1
"Nlh",0.000189943458413553,8,0.05,1,1
"Nnh",0.000151802788420049,8,0.05,1,1
"Nah",0.000186692404354853,8,0.05,1,1
"Dl",0.000214780757009905,8,0.05,1,1
"Dn",0.000283187280526397,8,0.05,1,1
"Da",0.000228909710469294,8,0.05,1,1
"Hcn",0.00894193207746904,8,0.05,1,1
"Hcs",0.00427668889198436,8,0.05,1,1
"I",0.00303479222926541,8,0.05,1,1
"theta",0.000262449786489302,8,0.05,1,1
"Pl",0.000330072250052812,8,0.05,1,1
"Pn",0.000296803444466285,8,0.05,1,1
"Pa",0.00041743288888882,8,0.05,1,1
"Ql",0.00308716747850808,8,0.05,1,1
"Qn",0.00022384586035191,8,0.05,1,1
"Qa",0.000304254303538947,8,0.05,1,1
"Ra",0.00180514579757834,8,0.05,1,1
"E",0.00110660331408204,9,0.05,1,1
"Sl",0.000497882141306865,9,0.05,1,1
"Sn",0.00259432603993088,9,0.05,1,1
"Sa",0.000842655253152767,9,0.05,1,1
"Cll",0.00022110225274576,9,0.05,1,1
"Cnl",0.000226995774703415,9,0.05,1,1
"Cal",0.000160882804766423,9,0.05,1,1
"Cln",0.000201016575694107,9,0.05,1,1
"Cnn",0.000234717180540469,9,0.05,1,1
"Can",0.000204075655097288,9,0.05,1,1
"Cla",0.00022788239381906,9,0.05,1,1
