"par","yhat","K.sce","I.sce","N.sce","outcome"
6.02734257074201,0.450189308819667,0.05,1,1,"vertical"
72.2237361806308,0.450879839119795,0.05,1,1,"vertical"
138.42012979052,0.453757953882572,0.05,1,1,"vertical"
204.616523400408,0.456695637054137,0.05,1,1,"vertical"
270.812917010297,0.459327051419935,0.05,1,1,"vertical"
337.009310620186,0.463746598880276,0.05,1,1,"vertical"
403.205704230075,0.466675923116175,0.05,1,1,"vertical"
469.402097839963,0.471924014818088,0.05,1,1,"vertical"
535.598491449852,0.474585485438582,0.05,1,1,"vertical"
601.794885059741,0.479680653016059,0.05,1,1,"vertical"
667.99127866963,0.483154096429596,0.05,1,1,"vertical"
734.187672279518,0.485655201483854,0.05,1,1,"vertical"
800.384065889407,0.486807126515268,0.05,1,1,"vertical"
866.580459499296,0.491386406857278,0.05,1,1,"vertical"
932.776853109185,0.499056160436823,0.05,1,1,"vertical"
998.973246719073,0.50237792970316,0.05,1,1,"vertical"
1065.16964032896,0.508440822414921,0.05,1,1,"vertical"
1131.36603393885,0.513412149013758,0.05,1,1,"vertical"
1197.56242754874,0.516803574102475,0.05,1,1,"vertical"
1263.75882115863,0.520483164559504,0.05,1,1,"vertical"
1329.95521476852,0.522623780404638,0.05,1,1,"vertical"
1396.15160837841,0.525215491004961,0.05,1,1,"vertical"
1462.34800198829,0.52600867273657,0.05,1,1,"vertical"
1528.54439559818,0.528086778572685,0.05,1,1,"vertical"
1594.74078920807,0.532568494723508,0.05,1,1,"vertical"
1660.93718281796,0.534451561617289,0.05,1,1,"vertical"
1727.13357642785,0.537797217555849,0.05,1,1,"vertical"
1793.32997003774,0.53926300335663,0.05,1,1,"vertical"
1859.52636364763,0.540784453263771,0.05,1,1,"vertical"
1925.72275725752,0.542939820657821,0.05,1,1,"vertical"
1991.9191508674,0.544138146412196,0.05,1,1,"vertical"
2058.11554447729,0.54532355903192,0.05,1,1,"vertical"
2124.31193808718,0.54607388473684,0.05,1,1,"vertical"
2190.50833169707,0.546810691704415,0.05,1,1,"vertical"
2256.70472530696,0.548003947326837,0.05,1,1,"vertical"
2322.90111891685,0.548595410067359,0.05,1,1,"vertical"
2389.09751252674,0.548718634046987,0.05,1,1,"vertical"
2455.29390613663,0.549222126150532,0.05,1,1,"vertical"
2521.49029974651,0.549995406971923,0.05,1,1,"vertical"
2587.6866933564,0.550210920122043,0.05,1,1,"vertical"
2653.88308696629,0.550406670478097,0.05,1,1,"vertical"
2720.07948057618,0.550732600858121,0.05,1,1,"vertical"
2786.27587418607,0.551131225944933,0.05,1,1,"vertical"
2852.47226779596,0.551128060336612,0.05,1,1,"vertical"
2918.66866140585,0.551167359768048,0.05,1,1,"vertical"
2984.86505501574,0.551255621636591,0.05,1,1,"vertical"
3051.06144862562,0.551255621636591,0.05,1,1,"vertical"
3117.25784223551,0.551281739231255,0.05,1,1,"vertical"
3183.4542358454,0.551281739231255,0.05,1,1,"vertical"
3249.65062945529,0.551281739231255,0.05,1,1,"vertical"
3315.84702306518,0.551281739231255,0.05,1,1,"vertical"
0.00900665383712314,0.50138386567162,0.05,1,1,"vertical"
0.011980342943114,0.50138386567162,0.05,1,1,"vertical"
0.0149540320491048,0.501384697141354,0.05,1,1,"vertical"
0.0179277211550957,0.50139142292678,0.05,1,1,"vertical"
0.0209014102610865,0.501561204463738,0.05,1,1,"vertical"
0.0238750993670773,0.501980850490729,0.05,1,1,"vertical"
0.0268487884730682,0.50374699648272,0.05,1,1,"vertical"
0.029822477579059,0.505322833592999,0.05,1,1,"vertical"
0.0327961666850498,0.507468581918645,0.05,1,1,"vertical"
0.0357698557910407,0.509815683410416,0.05,1,1,"vertical"
0.0387435448970315,0.51109343343377,0.05,1,1,"vertical"
0.0417172340030223,0.512071374954068,0.05,1,1,"vertical"
0.0446909231090132,0.513616929015195,0.05,1,1,"vertical"
0.047664612215004,0.516302785341501,0.05,1,1,"vertical"
0.0506383013209949,0.517826510032895,0.05,1,1,"vertical"
0.0536119904269857,0.519911450467044,0.05,1,1,"vertical"
0.0565856795329765,0.525265945760961,0.05,1,1,"vertical"
0.0595593686389674,0.530245064663937,0.05,1,1,"vertical"
0.0625330577449582,0.533476963536618,0.05,1,1,"vertical"
0.065506746850949,0.538462055096282,0.05,1,1,"vertical"
0.0684804359569399,0.540580268467897,0.05,1,1,"vertical"
0.0714541250629307,0.543114694013684,0.05,1,1,"vertical"
0.0744278141689216,0.544269647658923,0.05,1,1,"vertical"
0.0774015032749124,0.546784379578537,0.05,1,1,"vertical"
0.0803751923809032,0.547799233563515,0.05,1,1,"vertical"
0.0833488814868941,0.548014795273919,0.05,1,1,"vertical"
0.0863225705928849,0.548586531576821,0.05,1,1,"vertical"
0.0892962596988757,0.549856364943818,0.05,1,1,"vertical"
0.0922699488048666,0.550299799970179,0.05,1,1,"vertical"
0.0952436379108574,0.550405496424106,0.05,1,1,"vertical"
0.0982173270168483,0.550503898258164,0.05,1,1,"vertical"
0.101191016122839,0.550648750291038,0.05,1,1,"vertical"
0.10416470522883,0.55066048809318,0.05,1,1,"vertical"
0.107138394334821,0.550683265567225,0.05,1,1,"vertical"
0.110112083440812,0.550976785659571,0.05,1,1,"vertical"
0.113085772546802,0.5512006996101,0.05,1,1,"vertical"
0.116059461652793,0.551488859706351,0.05,1,1,"vertical"
0.119033150758784,0.551653066253594,0.05,1,1,"vertical"
0.122006839864775,0.552507791586031,0.05,1,1,"vertical"
0.124980528970766,0.552956152148941,0.05,1,1,"vertical"
0.127954218076757,0.553601255093133,0.05,1,1,"vertical"
0.130927907182747,0.553723260558412,0.05,1,1,"vertical"
0.133901596288738,0.553690103470595,0.05,1,1,"vertical"
0.136875285394729,0.553690058694963,0.05,1,1,"vertical"
0.13984897450072,0.553690058694963,0.05,1,1,"vertical"
0.142822663606711,0.553690058694963,0.05,1,1,"vertical"
0.145796352712702,0.553690058694963,0.05,1,1,"vertical"
0.148770041818692,0.553690058694963,0.05,1,1,"vertical"
0.151743730924683,0.553690058694963,0.05,1,1,"vertical"
0.154717420030674,0.553690058694963,0.05,1,1,"vertical"
0.157691109136665,0.553690058694963,0.05,1,1,"vertical"
0.0258906991746935,0.487360888115656,0.05,1,1,"vertical"
0.0322839611813927,0.487362832395842,0.05,1,1,"vertical"
0.0386772231880919,0.488232696129476,0.05,1,1,"vertical"
0.0450704851947911,0.488461149836856,0.05,1,1,"vertical"
0.0514637472014903,0.48929294953128,0.05,1,1,"vertical"
0.0578570092081895,0.490502558775405,0.05,1,1,"vertical"
0.0642502712148888,0.491702511395484,0.05,1,1,"vertical"
0.070643533221588,0.493202029968617,0.05,1,1,"vertical"
0.0770367952282872,0.496861549467205,0.05,1,1,"vertical"
0.0834300572349864,0.508167641848118,0.05,1,1,"vertical"
0.0898233192416856,0.522601461741838,0.05,1,1,"vertical"
0.0962165812483848,0.527665516991482,0.05,1,1,"vertical"
0.102609843255084,0.532024307042254,0.05,1,1,"vertical"
0.109003105261783,0.534090113840472,0.05,1,1,"vertical"
0.115396367268482,0.53660326147801,0.05,1,1,"vertical"
0.121789629275182,0.537951333133379,0.05,1,1,"vertical"
0.128182891281881,0.538839088247188,0.05,1,1,"vertical"
0.13457615328858,0.540332357532088,0.05,1,1,"vertical"
0.140969415295279,0.544644900599553,0.05,1,1,"vertical"
0.147362677301978,0.547215899688384,0.05,1,1,"vertical"
0.153755939308678,0.550197470418072,0.05,1,1,"vertical"
0.160149201315377,0.552066049193016,0.05,1,1,"vertical"
0.166542463322076,0.555310297439681,0.05,1,1,"vertical"
0.172935725328775,0.557197508055348,0.05,1,1,"vertical"
0.179328987335475,0.558893521366142,0.05,1,1,"vertical"
0.185722249342174,0.559351015202478,0.05,1,1,"vertical"
0.192115511348873,0.559584599636038,0.05,1,1,"vertical"
0.198508773355572,0.561045380815883,0.05,1,1,"vertical"
0.204902035362271,0.561725106475158,0.05,1,1,"vertical"
0.211295297368971,0.562391455564601,0.05,1,1,"vertical"
0.21768855937567,0.565292279719212,0.05,1,1,"vertical"
0.224081821382369,0.566566267614715,0.05,1,1,"vertical"
0.230475083389068,0.567025685546556,0.05,1,1,"vertical"
0.236868345395767,0.567466219191729,0.05,1,1,"vertical"
0.243261607402467,0.567797860520675,0.05,1,1,"vertical"
0.249654869409166,0.568224403868661,0.05,1,1,"vertical"
0.256048131415865,0.568596534050599,0.05,1,1,"vertical"
0.262441393422564,0.568781721411438,0.05,1,1,"vertical"
0.268834655429263,0.568835063729831,0.05,1,1,"vertical"
0.275227917435963,0.569047010731779,0.05,1,1,"vertical"
