"vertical","nonsystemic","systemic","R0","R0_vertical","R0_novertical","I.sce","N.sce","K.sce"
0.575592085242474,0.286379718708222,0.137998115428417,0.81780474961145,0.347918894046183,0.0366899457989284,1,1,0.05
0.661575215939678,0.209517784302448,0.128916430949142,0.830400442790281,0.494718528002352,0.0160134138560159,1,1,0.05
0.585482869713824,0.356171452732191,0.0582929034730483,0.872041020080254,0.341454389566059,0.0225151340665752,1,1,0.05
0.399239060162025,0.266972893779525,0.333677257197334,0.260371980771159,0.0303650911601673,0.0460584539446118,1,1,0.05
0.684661286661966,0.130335035168308,0.185038204547607,1.66584436424373,1.14339307115826,0.121132714207351,1,1,0.05
0.486781874378733,0.21120682179923,0.301894795585566,0.916353423603338,0.260666576046154,0.0390820841776705,1,1,0.05
0.603219820383131,0.334825890108175,0.0619242235633207,1.57130903912975,0.706846578173988,0.0587092939933189,1,1,0.05
0.522269711594544,0.194320645994501,0.283363237176608,0.694126286260831,0.281405350364846,0.0875185914164672,1,1,0.05
0.607392904735108,0.265486842654573,0.12711260324912,0.636528221764737,0.31860076702982,0.0409244673388159,1,1,0.05
0.70379231116304,0.272048419099428,0.02417600095635,2.06730739033492,1.29656014861179,0.13989726852557,1,1,0.05
0.537479020070489,0.424825741006137,0.0376350845790292,1.45746321173963,0.426120092978245,0.0638472203429875,1,1,0.05
0.513119887133862,0.239420238118547,0.247382827406078,0.520036318656172,0.159391179620788,0.0235855798784288,1,1,0.05
0.542701041898546,0.435498844120551,0.0217373347762411,2.21650419550841,0.613484855502396,0.0607083498970877,1,1,0.05
0.440984701923637,0.277758515150256,0.281141438322461,0.308562486651321,0.044768355233059,0.0283381712164957,1,1,0.05
0.723060500267569,0.154873476382786,0.122106557030275,2.38960920596378,1.69069668742212,0.0892905478155468,1,1,0.05
0.375325912749235,0.0367966262047408,0.587639094419907,0.436634771576403,0.0620626039101248,0.0453144625895452,1,1,0.05
0.636025162721594,0.346978213085598,0.0169392015051568,1.1940623740326,0.57809984770367,0.0542963674550665,1,1,0.05
0.544878961250126,0.396609181849952,0.0584668915851298,1.05576494223065,0.344700096854092,0.0793167060562153,1,1,0.05
0.457124494343339,0.469406624448672,0.0733913679718893,0.420478747637163,0.062802564494168,0.035059215571942,1,1,0.05
0.495704145930477,0.429228399330231,0.0750005726399016,1.76999234812679,0.386753054426571,0.0938171241551734,1,1,0.05
0.471870356644038,0.371737079898563,0.15632017767875,0.316538836812314,0.0617743702247789,0.0267333193769546,1,1,0.05
0.526426564058938,0.364144784267182,0.109335226735209,0.582126766644026,0.141361487861711,0.0223884987059816,1,1,0.05
0.438261046526227,0.403005840185902,0.158650703033482,0.4086558194861,0.0588410429247261,0.0548030289764253,1,1,0.05
0.713519298702671,0.277948382139557,0.0085581339122242,2.3794127678525,1.49809763630423,0.0412695661519531,1,1,0.05
0.54071165537059,0.398270167649278,0.0609656350976823,1.05588236446755,0.330756527623733,0.0616951158480438,1,1,0.05
0.43730883828665,0.434355990567574,0.128242839488786,0.377845752035216,0.0416550288300367,0.0417208995578962,1,1,0.05
0.50552995941464,0.0986015689540197,0.395749063455046,0.850142937583028,0.369512354742302,0.0586297826225217,1,1,0.05
0.4787102266913,0.475938271038288,0.0452471006906447,1.12502669626509,0.197192227916001,0.0714174223287831,1,1,0.05
0.618090598538785,0.269461471086746,0.112424695316519,0.915421029338851,0.45402071004487,0.0394315000663583,1,1,0.05
0.515910838459466,0.459104167684897,0.0248846784540534,0.904372973953542,0.155832890715354,0.0203733307465132,1,1,0.05
0.594208871599854,0.308203573410746,0.0975594342142913,0.961312537557435,0.427646304281441,0.0417605809637841,1,1,0.05
0.581320916315629,0.269245711529079,0.149413560329251,0.835251382035657,0.388333303048522,0.0782744950196072,1,1,0.05
0.457552835645484,0.436998408514289,0.105375921159513,0.83429752000706,0.136650160868934,0.0744246989355642,1,1,0.05
0.537059160525474,0.301094201064949,0.161757943459999,0.789040613100877,0.235375360003043,0.0331686296926122,1,1,0.05
0.443261289311023,0.517538442389647,0.0391121912500583,0.628804237448395,0.0529219155902126,0.0451403856493421,1,1,0.05
0.416999812545291,0.175488501578618,0.40738893542054,1.082801594298,0.174325723105792,0.0772598283790941,1,1,0.05
0.677721605511867,0.259358328544022,0.0629356267422452,1.5085925993914,0.917033324282694,0.128433474541034,1,1,0.05
0.427246718908786,0.338958800495945,0.233694681407056,0.574642693752103,0.0580723059579928,0.0434620688232326,1,1,0.05
0.391824747116024,0.0793029499727139,0.528693996850462,0.274315743605704,0.043493108040006,0.0256695837500987,1,1,0.05
0.696200777304102,0.269328342750517,0.0344912512440176,4.30384250365922,2.65340489183308,0.11746745642058,1,1,0.05
0.690396135256869,0.283123938112117,0.0264958327143458,2.40592335552676,1.4586350968535,0.0852074389943508,1,1,0.05
0.449171398502021,0.514354864108106,0.0363826401760556,0.471459991138694,0.0649407142500841,0.0372907365490386,1,1,0.05
0.563470279002105,0.287110750395211,0.149358493144095,1.03327783454261,0.400070751692967,0.0290278667979325,1,1,0.05
0.452020415108472,0.344727828875616,0.20317666822829,0.46677119521146,0.0776391972789808,0.0430210104617782,1,1,0.05
0.491989768079028,0.226665498199347,0.281278410907817,0.429031770516838,0.136145132533992,0.0499329916317569,1,1,0.05
0.424734880059067,0.144982156280023,0.430148407206483,0.773065288197995,0.157870038291973,0.0529890339668953,1,1,0.05
0.604425025959294,0.362277746723303,0.0332711816773258,1.22941440167197,0.543025222957018,0.0522076704206519,1,1,0.05
0.425985436707963,0.550471847164295,0.0234372442907144,0.624415465135017,0.0581652062312562,0.0572326875196417,1,1,0.05
0.62146714572411,0.236921447074292,0.141613159647573,0.661932699356238,0.358738815086804,0.0559276705874673,1,1,0.05
0.482060155853317,0.407676051291215,0.110193094467775,0.67904267965589,0.141581147138383,0.053966226586696,1,1,0.05
0.519685595038661,0.431055394258014,0.0491695497637703,0.49914471650614,0.117894081432,0.0230008444265493,1,1,0.05
0.555688069646973,0.306551200030076,0.13771401427817,0.777956557722658,0.285508190613574,0.031707100409755,1,1,0.05
0.5388925983741,0.362667136078723,0.098393118677747,0.493556253441624,0.151292321853054,0.0297071070285906,1,1,0.05
0.383331552744732,0.0689455952187216,0.547533287324289,0.420046668999257,0.063905494866857,0.0579369355963682,1,1,0.05
0.596260682341545,0.208838124564684,0.194888956446357,1.30254486229712,0.670164620897782,0.0822594627593753,1,1,0.05
0.720716581332789,0.255786453453858,0.0235183738640363,2.92349439803846,1.8909209454027,0.0468264821357248,1,1,0.05
0.677166295124079,0.303240242177735,0.0196037660060866,2.02941267977072,1.15885584243746,0.0842140425183697,1,1,0.05
0.475908234011874,0.459178666618235,0.0648356119763592,1.23305747004185,0.168236220041688,0.0794607953564574,1,1,0.05
0.41495174352265,0.0778867005988091,0.506964246885692,0.977907360767268,0.21325674146912,0.0417405071276327,1,1,0.05
0.452705791273557,0.526233789309869,0.0209673893784052,1.39592985472356,0.181002120042711,0.0929538980764392,1,1,0.05
0.585511106878737,0.2706036620841,0.143821394230686,1.08950251693293,0.473984686233375,0.0406154619330983,1,1,0.05
0.537092342692508,0.339015589076636,0.123837267834635,1.11151926486762,0.390025706172836,0.0912529134148114,1,1,0.05
