"variable","importance","ID","K.sce","I.sce","N.sce"
"theta",0.00592181668280472,4,0.05,1,1
"Pl",0.00259295838508227,4,0.05,1,1
"Pn",0.00311486480536884,4,0.05,1,1
"Pa",0.0073990593477375,4,0.05,1,1
"Ql",0.00843925268080966,4,0.05,1,1
"Qn",0.00592936615501963,4,0.05,1,1
"Qa",0.00221685018863173,4,0.05,1,1
"Ra",0.269448315266817,4,0.05,1,1
"E",0.1066397857739,5,0.05,1,1
"Sl",0.0904531940329319,5,0.05,1,1
"Sn",0.0282019953779679,5,0.05,1,1
"Sa",0.0398970914730441,5,0.05,1,1
"Cll",0.00497461903348757,5,0.05,1,1
"Cnl",0.00247287489887762,5,0.05,1,1
"Cal",0.00580737609969689,5,0.05,1,1
"Cln",0.00353646336892378,5,0.05,1,1
"Cnn",0.00324564429469464,5,0.05,1,1
"Can",0.00466596417494738,5,0.05,1,1
"Cla",0.00324092341826928,5,0.05,1,1
"Cna",0.00465446102950659,5,0.05,1,1
"Caa",0.00640002613846135,5,0.05,1,1
"Cs",0.0543042375116173,5,0.05,1,1
"Nlh",0.00340587907241421,5,0.05,1,1
"Nnh",0.00308614825576423,5,0.05,1,1
"Nah",0.00674704528693361,5,0.05,1,1
"Dl",0.0025947423859012,5,0.05,1,1
"Dn",0.00511447273092834,5,0.05,1,1
"Da",0.00625331037287691,5,0.05,1,1
"Hcn",0.0401092278079778,5,0.05,1,1
"Hcs",0.00399979372529352,5,0.05,1,1
"I",0.00321339505403903,5,0.05,1,1
"theta",0.00369100922914078,5,0.05,1,1
"Pl",0.00305888512961517,5,0.05,1,1
"Pn",0.0066978790150702,5,0.05,1,1
"Pa",0.00366830103152879,5,0.05,1,1
"Ql",0.00613391269848835,5,0.05,1,1
"Qn",0.00565060773112529,5,0.05,1,1
"Qa",0.00437199332058906,5,0.05,1,1
"Ra",0.27625965906906,5,0.05,1,1
"E",0.129642613332747,6,0.05,1,1
"Sl",0.0703035757227311,6,0.05,1,1
"Sn",0.108644867362303,6,0.05,1,1
"Sa",0.0541986532699604,6,0.05,1,1
"Cll",0.00409044258148743,6,0.05,1,1
"Cnl",0.00389454331520956,6,0.05,1,1
"Cal",0.00443036761304682,6,0.05,1,1
"Cln",0.00285857300953951,6,0.05,1,1
"Cnn",0.00422579389540111,6,0.05,1,1
"Can",0.00456807719804859,6,0.05,1,1
"Cla",0.00361511204583541,6,0.05,1,1
"Cna",0.0035925389278442,6,0.05,1,1
"Caa",0.0048415221895995,6,0.05,1,1
"Cs",0.0275820387193356,6,0.05,1,1
"Nlh",0.00386953368655103,6,0.05,1,1
"Nnh",0.00425781938943918,6,0.05,1,1
"Nah",0.00465275662494914,6,0.05,1,1
"Dl",0.00259674916835808,6,0.05,1,1
"Dn",0.00812622970080741,6,0.05,1,1
"Da",0.00666765144205149,6,0.05,1,1
"Hcn",0.0275121510207979,6,0.05,1,1
"Hcs",0.00431855768250082,6,0.05,1,1
"I",0.00402420108168523,6,0.05,1,1
"theta",0.004609707432891,6,0.05,1,1
"Pl",0.00505859058415894,6,0.05,1,1
"Pn",0.00524499972718725,6,0.05,1,1
"Pa",0.0106460851616421,6,0.05,1,1
"Ql",0.0068988966818825,6,0.05,1,1
"Qn",0.00989602738556392,6,0.05,1,1
"Qa",0.00318666232442069,6,0.05,1,1
"Ra",0.302466780386212,6,0.05,1,1
"E",0.105744025617584,7,0.05,1,1
"Sl",0.0965639936392927,7,0.05,1,1
"Sn",0.0508775930074981,7,0.05,1,1
"Sa",0.0450378538420235,7,0.05,1,1
"Cll",0.00177285808310425,7,0.05,1,1
"Cnl",0.00604153047508381,7,0.05,1,1
"Cal",0.00470627846700502,7,0.05,1,1
"Cln",0.00154757444538199,7,0.05,1,1
"Cnn",0.00498544994103066,7,0.05,1,1
"Can",0.00426365308029851,7,0.05,1,1
"Cla",0.00269455615014617,7,0.05,1,1
"Cna",0.00588036727575181,7,0.05,1,1
"Caa",0.00631235495566356,7,0.05,1,1
"Cs",0.0285527224873684,7,0.05,1,1
"Nlh",0.00185167767960472,7,0.05,1,1
"Nnh",0.00459779156556835,7,0.05,1,1
"Nah",0.00630476638356208,7,0.05,1,1
"Dl",0.00243023379657994,7,0.05,1,1
"Dn",0.00496693463718877,7,0.05,1,1
"Da",0.00659854838913386,7,0.05,1,1
"Hcn",0.0253371542701528,7,0.05,1,1
"Hcs",0.00491175487214228,7,0.05,1,1
"I",0.00317513059111009,7,0.05,1,1
"theta",0.00354533519187552,7,0.05,1,1
"Pl",0.00284166844584248,7,0.05,1,1
"Pn",0.00426343854956383,7,0.05,1,1
"Pa",0.00338328135395663,7,0.05,1,1
"Ql",0.00377398184194344,7,0.05,1,1
"Qn",0.00481349174489634,7,0.05,1,1
"Qa",0.00539150990713215,7,0.05,1,1
"Ra",0.274402366876661,7,0.05,1,1
"E",0.140795679225141,8,0.05,1,1
"Sl",0.0735589979101088,8,0.05,1,1
"Sn",0.0227871266588875,8,0.05,1,1
"Sa",0.0696411808522131,8,0.05,1,1
"Cll",0.00325443809620261,8,0.05,1,1
"Cnl",0.00254825299099777,8,0.05,1,1
"Cal",0.0048730770145563,8,0.05,1,1
"Cln",0.00349244104407177,8,0.05,1,1
"Cnn",0.00543193582716554,8,0.05,1,1
"Can",0.00345329025567155,8,0.05,1,1
"Cla",0.00272552119787538,8,0.05,1,1
"Cna",0.00396570062622545,8,0.05,1,1
"Caa",0.00965055677631337,8,0.05,1,1
"Cs",0.0260534668030245,8,0.05,1,1
"Nlh",0.00370214908608911,8,0.05,1,1
"Nnh",0.00395285324677976,8,0.05,1,1
"Nah",0.00909800621176386,8,0.05,1,1
"Dl",0.00427644645857999,8,0.05,1,1
"Dn",0.00445930709363573,8,0.05,1,1
"Da",0.00462785471396106,8,0.05,1,1
"Hcn",0.0284231721261547,8,0.05,1,1
"Hcs",0.00399986935061509,8,0.05,1,1
"I",0.0057005834524163,8,0.05,1,1
"theta",0.00510912064078175,8,0.05,1,1
"Pl",0.00342079689934738,8,0.05,1,1
"Pn",0.00346477085216101,8,0.05,1,1
"Pa",0.0031382542702691,8,0.05,1,1
"Ql",0.00834206615062889,8,0.05,1,1
"Qn",0.0032360091743159,8,0.05,1,1
"Qa",0.00406038793342742,8,0.05,1,1
"Ra",0.235011402966439,8,0.05,1,1
"E",0.118003701468601,9,0.05,1,1
"Sl",0.0705800745336079,9,0.05,1,1
"Sn",0.0465697791309456,9,0.05,1,1
"Sa",0.0479870670388228,9,0.05,1,1
"Cll",0.00303119877339736,9,0.05,1,1
"Cnl",0.00382484204648181,9,0.05,1,1
"Cal",0.00711039581508351,9,0.05,1,1
"Cln",0.00302135125704227,9,0.05,1,1
"Cnn",0.00416953903158992,9,0.05,1,1
"Can",0.00735566247609414,9,0.05,1,1
"Cla",0.00274423250646315,9,0.05,1,1
"Cna",0.00353664556569188,9,0.05,1,1
"Caa",0.00921388949459819,9,0.05,1,1
"Cs",0.0212895816200565,9,0.05,1,1
"Nlh",0.00258524784182178,9,0.05,1,1
"Nnh",0.00428183673617047,9,0.05,1,1
"Nah",0.0106485058152667,9,0.05,1,1
"Dl",0.00246553186567914,9,0.05,1,1
"Dn",0.0033189905426023,9,0.05,1,1
"Da",0.0047417025323631,9,0.05,1,1
"Hcn",0.0354585274144558,9,0.05,1,1
"Hcs",0.00400865730787154,9,0.05,1,1
"I",0.00243048540933463,9,0.05,1,1
"theta",0.00413764656733585,9,0.05,1,1
"Pl",0.00268274054106634,9,0.05,1,1
"Pn",0.00332563523118111,9,0.05,1,1
"Pa",0.00549353495858045,9,0.05,1,1
"Ql",0.00729931752335487,9,0.05,1,1
"Qn",0.0044954342118724,9,0.05,1,1
"Qa",0.006541523844651,9,0.05,1,1
"Ra",0.222284404956661,9,0.05,1,1
"E",0.119350818987076,10,0.05,1,1
"Sl",0.131639750140967,10,0.05,1,1
"Sn",0.064012238616836,10,0.05,1,1
"Sa",0.0565265625584862,10,0.05,1,1
"Cll",0.00500276784542813,10,0.05,1,1
"Cnl",0.00464046765753715,10,0.05,1,1
"Cal",0.00646671052913147,10,0.05,1,1
"Cln",0.00234358399479858,10,0.05,1,1
"Cnn",0.00421390999315218,10,0.05,1,1
"Can",0.00613492873776925,10,0.05,1,1
"Cla",0.00374691623369533,10,0.05,1,1
"Cna",0.00468359235191561,10,0.05,1,1
"Caa",0.00701583838280663,10,0.05,1,1
"Cs",0.020401345267015,10,0.05,1,1
"Nlh",0.00415273318274639,10,0.05,1,1
"Nnh",0.00489799647599098,10,0.05,1,1
"Nah",0.00652206752110789,10,0.05,1,1
"Dl",0.00251989210913719,10,0.05,1,1
"Dn",0.00504479773817002,10,0.05,1,1
"Da",0.00332746756971224,10,0.05,1,1
"Hcn",0.0358578049220736,10,0.05,1,1
"Hcs",0.00328277861684199,10,0.05,1,1
"I",0.00449880991800846,10,0.05,1,1
"theta",0.00480972504045652,10,0.05,1,1
"Pl",0.00270309513581102,10,0.05,1,1
"Pn",0.00752046925382214,10,0.05,1,1
"Pa",0.00535536771038508,10,0.05,1,1
"Ql",0.00596951401027836,10,0.05,1,1
"Qn",0.00425747573819774,10,0.05,1,1
"Qa",0.00302917638677129,10,0.05,1,1
"Ra",0.251448614223504,10,0.05,1,1
"E",0.133367152080289,11,0.05,1,1
"Sl",0.0781831366033325,11,0.05,1,1
"Sn",0.0468469624129512,11,0.05,1,1
